value,count
71457,632
95828,632
92108,631
21144,630
21224,630
23601,630
292XX,630
60085,630
75089,630
31404,629
77471,629
29072,628
90723,628
92324,628
07205,627
36869,627
92126,627
20147,626
43228,626
89012,626
90405,626
92571,626
954XX,626
10039,625
89436,625
72223,624
08330,623
218XX,623
032XX,622
18042,622
28411,622
29073,622
90025,622
90280,622
92104,622
79907,621
10026,620
43615,620
77006,620
91765,620
33174,619
38114,619
89169,619
94590,619
27909,618
29414,618
89030,618
89130,618
10461,617
17110,617
22407,617
85016,617
857XX,617
06516,616
94534,616
19128,615
21113,615
23188,615
33145,615
85249,615
85286,615
90004,615
19711,614
28110,614
30075,614
91910,613
91352,612
19713,611
64030,610
75212,610
08016,609
144XX,609
28054,609
39401,609
46239,609
78108,609
77038,608
79924,608
02368,607
063XX,607
10009,607
85202,607
24540,606
37115,606
89101,606
46268,605
758XX,605
78240,605
11209,604
85254,604
91306,604
10036,603
161XX,603
33185,603
468XX,603
986XX,603
34952,602
77642,602
78753,602
91911,602
120XX,601
90277,601
90501,601
29506,600
947XX,600
44106,599
85044,599
91206,599
02151,598
136XX,598
15210,598
28210,598
31707,598
78744,598
85379,598
156XX,597
19026,597
21236,596
23456,596
32259,596
48187,596
60618,596
85035,596
982XX,596
233XX,595
79927,595
19904,594
33442,594
68111,594
85392,594
92620,594
10301,593
28358,593
92883,593
60435,592
92612,592
01852,591
07753,591
08618,591
23322,591
34743,591
72301,591
77071,591
78754,591
798XX,591
92201,591
616XX,590
77067,590
77530,590
80249,590
90026,590
90266,590
91762,590
92705,590
10304,589
19020,589
20852,589
31206,589
801XX,589
990XX,589
53225,588
78223,588
78504,588
92805,588
95822,588
30030,587
471XX,587
70403,587
70506,587
054XX,586
27858,586
18702,585
21075,585
60462,585
74012,585
77520,585
11423,584
175XX,584
23518,584
39402,584
02905,583
91343,583
029XX,582
30307,582
30340,582
33308,582
60613,582
171XX,581
46218,581
875XX,581
95209,581
026XX,580
113XX,580
78247,580
793XX,580
36605,579
78574,579
89135,579
38135,578
90703,578
07644,577
46214,577
07522,576
30680,576
70501,576
10705,575
85251,575
23504,574
31204,574
72034,574
07208,573
239XX,573
53206,573
75087,573
91307,573
211XX,572
92532,572
94587,572
33173,571
33823,571
94501,571
90002,570
90201,570
53210,569
75032,569
112XX,568
23321,568
33458,568
33584,568
95123,568
27127,567
32092,567
63376,567
75007,567
78542,567
62221,565
85340,565
91364,565
10034,564
37075,564
78260,564
19116,563
21060,563
934XX,563
27704,562
32707,562
33428,562
33544,562
34748,562
363XX,562
37076,562
48238,562
89156,562
025XX,561
32164,561
48035,561
60016,561
706XX,561
907XX,561
29715,560
63368,560
48203,559
72118,559
95678,559
02169,558
11217,558
23703,558
33460,558
07060,557
21040,557
44124,557
89015,557
379XX,556
066XX,555
07206,555
187XX,555
274XX,555
29488,555
35216,555
70508,555
75080,555
77015,554
35023,553
60115,553
77532,553
84096,553
90745,553
46368,552
60638,552
70817,552
28052,551
806XX,551
10455,550
27893,550
29651,550
32955,550
60564,550
64131,550
804XX,550
85295,550
37086,549
70560,549
27105,548
60506,548
23803,547
91303,547
06320,546
43206,546
486XX,546
78758,546
185XX,545
603XX,545
60645,545
76522,545
90020,545
31906,544
76210,544
189XX,543
76248,543
06450,542
27612,542
85283,542
18018,541
550XX,541
767XX,541
90621,541
02136,540
140XX,540
33026,540
34232,540
92627,540
23503,539
27215,539
27617,539
60914,539
71360,539
76051,539
80012,539
90059,539
92021,539
18103,538
75061,538
90631,538
27332,537
32608,537
63108,537
95051,537
33030,536
48207,536
60660,536
85043,536
93706,536
95023,535
48504,534
77096,534
11581,533
32807,533
33569,533
76262,533
85226,533
89142,533
90241,533
92543,533
10011,532
62269,532
90262,532
91767,532
29680,531
39157,531
90815,531
08012,530
20708,530
37209,530
484XX,530
93705,530
11373,529
38017,529
85021,529
95207,529
07621,528
27284,528
29316,528
85308,528
92647,528
96706,528
46143,527
70119,527
23513,526
72211,526
77034,526
85029,526
93030,526
087XX,525
19038,525
